STRUCTURE,STRUCTURE_ID,ACTION,FREQ:Frequency,REF_AREA:Reference area,UNIT_MEASURE:Unit of measure,TIME_PERIOD:Time period or range,OBS_VALUE:Observation Value,UNIT_MULT:Unit Multiplier,TIME_FORMAT:Time Format,BREAKS:Breaks,COVERAGE:Coverage,DECIMALS:Decimals,TITLE_TS:Title (tseries level),OBS_CONF:Observation confidentiality,OBS_PRE_BREAK:Pre-Break Observation,OBS_STATUS:Observation Status
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1954,22.194374,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1955,22.568765,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1956,23.159601,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1957,23.645139,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1958,24.148227,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1959,24.364672,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1960,24.739063,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1961,25.3065,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1962,26.026033,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1963,26.798214,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1964,27.424149,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1965,28.313328,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1966,29.313655,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1967,29.840142,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1968,30.278882,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1969,30.858018,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1970,31.922693,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1971,33.595753,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1972,35.438459,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1973,37.9305,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1974,40.580487,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1975,42.97893,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1976,44.804087,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1977,46.477147,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1978,47.740718,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1979,49.671172,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1980,52.373808,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1981,55.696529,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1982,58.61561,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1983,60.546064,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1984,62.002679,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,A: Annual,DE: Germany,"628: Index, 2010 = 100",1985,63.283799,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1916-01,23.777007,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1916-02,16.070857,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1916-03,16.209566,0: Units,,,,,,F: Free,,A: Normal value
